cnvFiles,siteID,sampleDateTime,SITE_ID,stationDepth,Latitude,Longitude
2008 CTD data/203-08/laurent raw/Beta203.CNV,beta,2008-07-21T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/203-08/laurent raw/GH100.CNV,gh100,2008-07-21T00:00:00Z,gh100,100,43.01933333,86.63183333
2008 CTD data/203-08/laurent raw/GH45.CNV,gh45,2008-07-21T00:00:00Z,gh45,45,43.0414,86.3332
2008 CTD data/203-08/laurent raw/Omega203.CNV,omega,2008-07-21T00:00:00Z,omega,110,43.19983333,86.56983333
2008 CTD data/203-08_GH/laurent raw/GH100.CNV,gh100,2008-07-21T00:00:00Z,gh100,100,43.01933333,86.63183333
2008 CTD data/203-08_GH/laurent raw/GH45.CNV,gh45,2008-07-21T00:00:00Z,gh45,45,43.0414,86.3332
2008 CTD data/225-08/1635 raw/BETA225-08.bin.cnv,beta,2008-08-12T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/225-08/1635 raw/OMEGA225-08.bin.cnv,omega,2008-08-12T00:00:00Z,omega,110,43.19983333,86.56983333
2008 CTD data/226-08/1635RAW/ALPHA225-08.bin.cnv,alpha,2008-08-13T00:00:00Z,alpha,17,43.18816667,86.344
2008 CTD data/227-08_GH/1635 raw/GH100_227-08.bin.cnv,gh100,2008-08-14T00:00:00Z,gh100,100,43.01933333,86.63183333
2008 CTD data/227-08_GH/1635 raw/GH45_227-08.bin.cnv,gh45,2008-08-14T00:00:00Z,gh45,45,43.0414,86.3332
2008 CTD data/240-08/1635 raw/Alpha240-08.bin.cnv,alpha,2008-08-27T00:00:00Z,alpha,17,43.18816667,86.344
2008 CTD data/240-08/1635 raw/Beta240-08.bin.cnv,beta,2008-08-27T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/240-08/1635 raw/Omega240-08.bin.cnv,omega,2008-08-27T00:00:00Z,omega,110,43.19983333,86.56983333
2008 CTD data/247-08/1635 raw/Alpha247-08.bin.cnv,alpha,2008-09-03T00:00:00Z,alpha,17,43.18816667,86.344
2008 CTD data/247-08/1635 raw/Beta247-08.bin.cnv,beta,2008-09-03T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/247-08/1635 raw/Omega247-08.bin.cnv,omega,2008-09-03T00:00:00Z,omega,110,43.19983333,86.56983333
2008 CTD data/260-08/1635 raw/Alpha260-08.bin.cnv,alpha,2008-09-16T00:00:00Z,alpha,17,43.18816667,86.344
2008 CTD data/260-08/1635 raw/Beta260-08.bin.cnv,beta,2008-09-16T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/260-08/1635 raw/Omega260-08.bin.cnv,omega,2008-09-16T00:00:00Z,omega,110,43.19983333,86.56983333
2008 CTD data/262-08_GH/1635 raw/GH100_262-08.bin.cnv,gh100,2008-09-18T00:00:00Z,gh100,100,43.01933333,86.63183333
2008 CTD data/262-08_GH/1635 raw/GH45_262-08.bin.cnv,gh45,2008-09-18T00:00:00Z,gh45,45,43.0414,86.3332
2008 CTD data/289-08/laurent raw/ALPHA.CNV,alpha,2008-10-15T00:00:00Z,alpha,17,43.18816667,86.344
2008 CTD data/289-08/laurent raw/BETA.CNV,beta,2008-10-15T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/289-08/laurent raw/OMEGA.CNV,omega,2008-10-15T00:00:00Z,omega,110,43.19983333,86.56983333
2008 CTD data/308-08/1635 raw/ALPHA308-11.bin.cnv,alpha,2008-11-03T00:00:00Z,alpha,17,43.18816667,86.344
2008 CTD data/308-08/1635 raw/BETA308-11.bin.cnv,beta,2008-11-03T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/308-08/1635 raw/OMEGA308-11.bin.cnv,omega,2008-11-03T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/106_4-16-09/1635 raw/106ALPHA.bin.cnv,alpha,2009-04-16T00:00:00Z,alpha,17,43.18816667,86.344
2009 CTD DATA/106_4-16-09/1635 raw/106BETA.bin.cnv,beta,2009-04-16T00:00:00Z,beta,45,43.20616667,86.44966667
2009 CTD DATA/106_4-16-09/1635 raw/106OMEGA.bin.cnv,omega,2009-04-16T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/120_4-30-09/758 raw/Beta_120-09.bin.cnv,beta,2009-04-30T00:00:00Z,beta,45,43.20616667,86.44966667
2009 CTD DATA/120_4-30-09/758 raw/GH100_120-09.bin.cnv,gh100,2009-04-30T00:00:00Z,gh100,100,43.01933333,86.63183333
2009 CTD DATA/120_4-30-09/758 raw/GH45_120-09.bin.cnv,gh45,2009-04-30T00:00:00Z,gh45,45,43.0414,86.3332
2009 CTD DATA/120_4-30-09/758 raw/omega120-09.bin.cnv,omega,2009-04-30T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/134_5-15-09/758 raw/Alpha_134-09.bin.cnv,alpha,2009-05-15T00:00:00Z,alpha,17,43.18816667,86.344
2009 CTD DATA/134_5-15-09/758 raw/Beta_134-09.bin.cnv,beta,2009-05-15T00:00:00Z,beta,45,43.20616667,86.44966667
2009 CTD DATA/134_5-15-09/758 raw/Omega_134-09.bin.cnv,omega,2009-05-15T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/162_6-11-09/758 raw/ALPHA162-09.bin.cnv,alpha,2009-06-11T00:00:00Z,alpha,17,43.18816667,86.344
2009 CTD DATA/162_6-11-09/758 raw/BETA162-09.bin.cnv,beta,2009-06-11T00:00:00Z,beta,45,43.20616667,86.44966667
2009 CTD DATA/162_6-11-09/758 raw/OMEGA162-09.bin.cnv,omega,2009-06-11T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/187_7-6-09/758 raw/Alpha187-09.bin.cnv,alpha,2009-07-06T00:00:00Z,alpha,17,43.18816667,86.344
2009 CTD DATA/187_7-6-09/758 raw/Beta187-09.bin.cnv,beta,2009-07-06T00:00:00Z,beta,45,43.20616667,86.44966667
2009 CTD DATA/187_7-6-09/758 raw/Omega187-09.bin.cnv,omega,2009-07-06T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/190_7-9-09/758 raw/MIDLK_190-09.bin.cnv,midlk,2009-07-09T00:00:00Z,midlk,150,42.71033333,87.09483333
2009 CTD DATA/194_7-13-09/758 raw/Alpha_194-09.bin.cnv,alpha,2009-07-13T00:00:00Z,alpha,17,43.18816667,86.344
2009 CTD DATA/194_7-13-09/758 raw/Beta_194-09.bin.cnv,beta,2009-07-13T00:00:00Z,beta,45,43.20616667,86.44966667
2009 CTD DATA/194_7-13-09/758 raw/Omega_194-09.bin.cnv,omega,2009-07-13T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/217_8-5-09/Laurent raw/M110.CNV,m110,2009-08-05T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/217_8-5-09/Laurent raw/M15.CNV,m15,2009-08-05T00:00:00Z,alpha,17,43.18816667,86.344
2009 CTD DATA/217_8-5-09/Laurent raw/M45.CNV,m45,2009-08-05T00:00:00Z,beta,45,43.20616667,86.44966667
2009 CTD DATA/230_8-18-09/Laurent raw/M110.CNV,m110,2009-08-18T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/230_8-18-09/Laurent raw/M15.CNV,m15,2009-08-18T00:00:00Z,alpha,17,43.18816667,86.344
2009 CTD DATA/230_8-18-09/Laurent raw/M45.CNV,m45,2009-08-18T00:00:00Z,beta,45,43.20616667,86.44966667
2009 CTD DATA/239_8-27-09/Laurent raw/M110.CNV,m110,2009-08-27T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/239_8-27-09/Laurent raw/M15.CNV,m15,2009-08-27T00:00:00Z,alpha,17,43.18816667,86.344
2009 CTD DATA/239_8-27-09/Laurent raw/M45.CNV,m45,2009-08-27T00:00:00Z,beta,45,43.20616667,86.44966667
2009 CTD DATA/241_8-29-09/raw/m110.bin.cnv,m110,2009-08-29T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/241_8-29-09/raw/m110.cnv,m110,2009-08-29T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/241_8-29-09/raw/m45.bin.cnv,m45,2009-08-29T00:00:00Z,beta,45,43.20616667,86.44966667
2009 CTD DATA/241_8-29-09/raw/m45.cnv,m45,2009-08-29T00:00:00Z,beta,45,43.20616667,86.44966667
2009 CTD DATA/257_9-14-09/raw/M110.bin.cnv,m110,2009-09-14T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/257_9-14-09/raw/M110.cnv,m110,2009-09-14T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/257_9-14-09/raw/M15.bin.cnv,m15,2009-09-14T00:00:00Z,alpha,17,43.18816667,86.344
2009 CTD DATA/257_9-14-09/raw/M15.cnv,m15,2009-09-14T00:00:00Z,alpha,17,43.18816667,86.344
2009 CTD DATA/257_9-14-09/raw/M45.bin.cnv,m45,2009-09-14T00:00:00Z,beta,45,43.20616667,86.44966667
2009 CTD DATA/257_9-14-09/raw/M45.cnv,m45,2009-09-14T00:00:00Z,beta,45,43.20616667,86.44966667
2009 CTD DATA/266_9-23-09/raw/m110.bin.cnv,m110,2009-09-23T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/266_9-23-09/raw/m110.cnv,m110,2009-09-23T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/274_9-1-09/Laurent raw/M25.CNV,m25,2009-09-01T00:00:00Z,NA,NA,NA,NA
2009 CTD DATA/274_9-1-09/Laurent raw/M45.CNV,m45,2009-09-01T00:00:00Z,beta,45,43.20616667,86.44966667
2009 CTD DATA/274_9-1-09/Laurent raw/TEMP.CNV,temp,2009-09-01T00:00:00Z,NA,NA,NA,NA
2009 CTD DATA/274_9-1-09/Laurent raw/X2.CNV,x2,2009-09-01T00:00:00Z,NA,NA,NA,NA
2009 CTD DATA/293_10-20-09/Laurent raw/M110.CNV,m110,2009-10-20T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/293_10-20-09/Laurent raw/M15.CNV,m15,2009-10-20T00:00:00Z,alpha,17,43.18816667,86.344
2009 CTD DATA/293_10-20-09/Laurent raw/M45.CNV,m45,2009-10-20T00:00:00Z,beta,45,43.20616667,86.44966667
2009 CTD DATA/301_10-28-09/New Folder/Station B.bin.cnv,stationb,2009-10-28T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/301_10-28-09/New Folder/Station B.cnv,stationb,2009-10-28T00:00:00Z,omega,110,43.19983333,86.56983333
2009 CTD DATA/313_11-9-09/758 raw/313_BETA.CNV,beta,2009-11-09T00:00:00Z,beta,45,43.20616667,86.44966667
2009 CTD DATA/313_11-9-09/758 raw/313ALPHA.CNV,alpha,2009-11-09T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/0758/075_3-16-10_0758/CTD Files/M110.cnv,m110,2010-03-16T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/0758/075_3-16-10_0758/CTD Files/M15.cnv,m15,2010-03-16T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/0758/075_3-16-10_0758/CTD Files/M45.cnv,m45,2010-03-16T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/0758/077_3-18-10_0758/CTD Files/M110.CNV,m110,2010-03-18T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/0758/077_3-18-10_0758/CTD Files/M45_077.CNV,m45,2010-03-18T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/0758/095_4-5-10_0758/CTD Files/M110.CNV,m110,2010-04-05T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/0758/095_4-5-10_0758/CTD Files/M15.CNV,m15,2010-04-05T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/0758/095_4-5-10_0758/CTD Files/M45.CNV,m45,2010-04-05T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/0758/117_4-27-10_0758/CTD Files/M110_117.cnv,m110,2011-04-20T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/0758/117_4-27-10_0758/CTD Files/M15_117.cnv,m15,2010-04-27T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/0758/117_4-27-10_0758/CTD Files/M45_117.cnv,m45,2010-04-27T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/0758/123_5-3-10_0758/CTD Files/M110_123.cnv,m110,2012-04-19T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/0758/123_5-3-10_0758/CTD Files/M15_123.cnv,m15,2010-05-03T00:00:00Z,alpha,17,43.18816667,86.344
